title,authors,journal,doi,pub_date,times_cited,abstract
Fungal Planet description sheets: 281-319,"['Crous, PW', 'Wingfield, MJ', 'Schumacher, RK', 'Summerell, BA', 'Giraldo, A', 'Gene, J', 'Guarro, J', 'Wanasinghe, DN', 'Hyde, KD', 'Camporesi, E', 'Jones, EBG', 'Thambugala, KM', 'Malysheva, EF', 'Malysheva, VF', 'Acharya, K', 'Alvarez, J', 'Alvarado, P', 'Assefa, A', 'Barnes, CW', 'Bartlett, JS', 'Blanchette, RA', 'Burgess, TI', 'Carlavilla, JR', 'Coetzee, MPA', 'Damm, U', 'Decock, CA', 'Breeyen, A', 'de Vries, B', 'Dutta, AK', 'Holdom, DG', 'Rooney-Latham, S', 'Manjon, JL', 'Marincowitz, S', 'Mirabolfathy, M', 'Moreno, G', 'Nakashima, C', 'Papizadeh, M', 'Fazeli, SAS', 'Amoozegar, MA', 'Romberg, MK', 'Shivas, RG', 'Stalpers, JA', 'Stielow, B', 'Stukely, MJC', 'Swart, WJ', 'Tan, YP', 'van der Bank, M', 'Wood, AR', 'Zhang, Y', 'Groenewald, JZ']",PERSOONIA,10.3767/003158514X685680,DEC 2014,9,"Novel species of fungi described in the present study include the following from South Africa: Alanphillipsia aloeicola from Aloe sp., Arxiella dolichandrae from Dolichandra unguiscati, Ganoderma austroafricanum from Jacaranda mimosifolia, Phacidiella podocarpi and Phaeosphaeria podocarpi from Podocarpus latifolius, Phyllosticta mimusopisicola from Mimusops zeyheri and Sphaerulina pelargonii from Pelargonium sp. Furthermore, Barssia maroccana is described from Cedrus atlantica (Morocco), Codinaea pini from Pinus patula (Uganda), Crucellisporiopsis marquesiae from Marquesia acuminata (Zambia), Dinemasporium ipomoeae from Ipomoea pes-caprae (Vietnam), Diaporthe phragmitis from Phragmites australis (China), Marasmius vladimirii from leaf litter (India), Melanconium hedericola from Hedera helix (Spain), Pluteus albotomentosus and Pluteus extremiorientalis from a mixed forest (Russia), Rachicladosporium eucalypti from Eucalyptus globulus (Ethiopia), Sistotrema epiphyllum from dead leaves of Fagus sylvatica in a forest (The Netherlands), Stagonospora chrysopyla from Scirpus microcarpus (USA) and Trichomerium dioscoreae from Dioscorea sp. (Japan). Novel species from Australia include: Corynespora endiandrae from Endiandra introrsa, Gonatophragmium triuniae from Triunia youngiana, Penicillium coccotrypicola from Archontophoenix cunninghamiana and Phytophthora moyootj from soil. Novelties from Iran include Neocamarosporium chichastianum from soil and Seimatosporium pistaciae from Pistacia vera, Xenosonderhenia eucalypti and Zasmidium eucalyptigenum are newly described from Eucalyptus urophylla in Indonesia. Diaporthe acaciarum and Roussoella acacia are newly described from Acacia tortilis in Tanzania. New species from Italy include Comoclathris spartii from Spartium junceum and Phoma tamaricicola from Tamarix gallica. Novel genera include (Ascomycetes): Acremoniopsis from forest soil and Collarina from water sediments (Spain), Phellinocrescentia from a Phellinus sp. (French Guiana), Neobambusicola from Strelitzia nicolai (South Africa), Neocladophialophora from Quercus robur (Germany), Neophysalospora from Cotymbia henryi (Mozambique) and Xenophaeosphaeria from Grewia sp. (Tanzania). Morphological and culture characteristics along with ITS DNA barcodes are provided for all taxa."
Fungal Planet description sheets: 214-280,"['Crous, PW', 'Shivas, RG', 'Quaedvlieg, W', 'van der Bank, M', 'Zhang, Y', 'Summerell, BA', 'Guarro, J', 'Wingfield, MJ', 'Wood, AR', 'Alfenas, AC', 'Braun, U', 'Cano-Lira, JF', 'Garcia, D', 'Marin-Felix, Y', 'Alvarado, P', 'Andrade, JP', 'Armengol, J', 'Assefa, A', 'den Breeyen, A', 'Camele, I', 'Cheewangkoon, R', 'De Souza, JT', 'Duong, TA', 'Esteve-Raventos, F', 'Fournier, J', 'Frisullo, S', 'Garcia-Jimenez, J', 'Gardiennet, A', 'Gene, J', 'Hernandez-Restrepo, M', 'Hirooka, Y', 'Hospenthal, DR', 'King, A', 'Lechat, C', 'Lombard, L', 'Mang, SM', 'Marbach, PAS', 'Marincowitz, S', 'Marin-Felix, Y', 'Montano-Mata, NJ', 'Moreno, G', 'Perez, CA', 'Sierra, AMP', 'Robertson, JL', 'Roux, J', 'Rubio, E', 'Schumacher, RK', 'Stchigel, AM', 'Sutton, DA', 'Tan, YP', 'Thompson, EH', 'van der Linde, E', 'Walker, AK', 'Walker, DM', 'Wickes, BL', 'Wong, PTW', 'Groenewald, JZ']",PERSOONIA,10.3767/003158514X68239,JUN 2014,21,"Novel species of microfungi described in the present study include the following from South Africa: Cercosporella dolichandrae from Dolichandra unguiscati, Seiridium podocarpi from Podocarpus latifolius, Pseudocercospora parapseudarthriae from Pseudarthria hookeri, Neodevriesia coryneliae from Corynelia uberata on leaves of Afrocarpus falcatus, Ramichloridium eucleae from Euclea undulata and Stachybotrys aloeticola from Aloe sp. (South Africa), as novel member of the Stachybotriaceae fam. nov. Several species were also described from Zambia, and these include Chaetomella zambiensis on unknown Fabaceae, Schizoparme pseudogranati from Terminalia stuhlmannii, Diaporthe isoberliniae from Isoberlinia angolensis, Peyronellaea combreti from Combretum mossambiciensis, Zasmidium rothmanniae and Phaeococcomyces rothmanniae from Rothmannia engleriana, Diaporthe vangueriae from Vangueria infausta and Diaporthe parapterocarpi from Pterocarpus brenanii. Novel species from the Netherlands include: Stagonospora trichophoricola, Keissleriella trichophoricola and Dinemasporium trichophoricola from Trichophorum cespitosum, Phaeosphaeria poae, Keissleriella poagena, Phaeosphaeria poagena, Parastagonospora poagena and Pyrenochaetopsis poae from Poa sp., Septoriella oudemansii from Phragmites australis and Dendryphion europaeum from Hedera helix (Germany) and Heracleum sphondylium (the Netherlands). Novel species from Australia include: Anungitea eucalyptorum from Eucalyptus leaf litter, Beltraniopsis neolitseae and Acrodontium neolitseae from Neolitsea australiensis, Beltraniella endiandrae from Endiandra introrsa, Phaeophleospora parsoniae from Parsonia straminea, Penicillifer martinii from Cynodon dactylon, Ochroconis macrozamiae from Macrozamia leaf litter, Triposporium cycadicola, Circinotrichum cycadis, Cladosporium cycadicola and Acrocalymma cycadis from Cycas spp. Furthermore, Vermiculariopsiella dichapetali is described from Dichapetalum rhodesicum (Botswana), Marasmius vladimirii from leaf litter (India), Ophiognomonia acadiensis from Picea rubens (Canada), Setophoma vernoniae from Vernonia polyanthes and Penicillium restingae from soil (Brazil), Pseudolachnella guaviyunis from Myrcianthes pungens (Uruguay) and Pseudocercospora neriicola from Nerium oleander (Italy). Novelties from Spain include: Dendryphiella eucalyptorum from Eucalyptus globulus, Conio-scypha minutispora from dead wood, Diplogelasinospora moalensis and Pseudoneurospora canariensis from soil and Inocybe lanatopurpurea from reforested woodland of Pinus spp. Novelties from France include: Keller-mania triseptata from Agave angustifolia, Zetiasplozna acaciae from Acacia melanoxylon, Pyrenochaeta pinicola from Pinus sp. and Pseudonectria rusci from Ruscus aculeatus. New species from China include: Dematiocladium celtidicola from Celtis bungeana, Beltrania pseudorhombica, Chaetopsina beijingensis and Toxicocladosporium pini from Pinus spp. and Setophaeosphaeria badalingensis from Hemerocallis fulva. Novel genera of Ascomycetes include Alfaria from Cyperus esculentus (Spain), Rinaldiella from a contaminated human lesion (Georgia), Hyaloclado-sporiella from Tectona grandis (Brazil), Pseudoacremonium from Saccharum spontaneum and Melnikomyces from leaf litter (Vietnam), Annellosympodiella from Juniperus procera (Ethiopia), Neoceratosperma from Eucalyptus leaves (Thailand), Ramopenidiella from Cycas calcicola (Australia), Cephalotrichiella from air in the Netherlands, Neocamarosporium from Mesembryanthemum sp.

and Acervuloseptoria from Ziziphus mucronata (South Africa) and Setophaeosphaeria from Hemerocallis fulva (China). Several novel combinations are also introduced, namely for Phaeosphaeria setosa as Setophaeosphaeria setosa, Phoma heteroderae as Peyronellaea heteroderae and Phyllosticta maydis as Peyronellaea maydis. Morphological and culture characteristics along with ITS DNA barcodes are provided for all taxa."
"Analysis of the ""shelter tree-effect"" of natural and exotic forest canopies on the growth of young Podocarpus falcatus trees in southern Ethiopia","['Strobl, S', 'Fetene, M', 'Beck, EH']",TREES-STRUCTURE AND FUNCTION,10.1007/s00468-011-0554-x,OCT 2011,8,"Plantations of exotic trees on areas where tropical forest has been clear-felled have been reported to facilitate regrowth of indigenous tree species. This so-called nurse-or shelter tree effect was investigated in a montane semihumid site in southern Ethiopia where plantations of Pinus patula and Eucalyptus saligna grow in close vicinity to the natural Podocarpus falcatus mixed forest. Physiological performance of P. falcatus saplings growing in the exotic and the natural forests was investigated over the year. Compared with the natural forest, photosynthetic carbon gain and growth of the saplings were significantly enhanced under Pinus patula while likewise retarded under Eucalyptus saligna. Diverging effects of the differently dense shelter canopies on the saplings could be traced to differences in the sub-canopy microclimates and particularly to the intensities and temporal distribution of photosynthetic active radiation (PAR). Moisture also played an important role for photosynthetic carbon gain: while the morning patterns of CO2 uptake were significantly correlated with the patterns of sunflecks, stomatal conductance was the determinant factor in the afternoon. Analysis of the photosynthetic efficiency of sunflecks revealed a lower quantum yield than the basic diffuse PAR intensity. Compared with a theoretically even distribution of the daily PAR, CO2 uptake under the real light climate was 70% under Pinus and in the natural forest, and 59% under Eucalyptus. Relating growth rates of Podocarpus saplings to photosynthesis the microclimate under Pinus was 2.5 times as effective as that in the natural forest and five times more effective than under Eucalyptus."
